2022-11-01 21:15:06 status half-configured sensible-utils:all 0.0.17
2022-11-01 21:15:06 status installed sensible-utils:all 0.0.17
2022-11-01 21:15:06 configure libcrypt1:amd64 1:4.4.27-1 <none>
2022-11-01 21:15:06 status unpacked libcrypt1:amd64 1:4.4.27-1
2022-11-01 21:15:06 status half-configured libcrypt1:amd64 1:4.4.27-1
2022-11-01 21:15:06 status installed libcrypt1:amd64 1:4.4.27-1
2022-11-01 21:15:06 configure libgcc-s1:amd64 12-20220319-1ubuntu1 <none>
2022-11-01 21:15:06 status unpacked libgcc-s1:amd64 12-20220319-1ubuntu1
2022-11-01 21:15:06 status half-configured libgcc-s1:amd64 12-20220319-1ubuntu1
2022-11-01 21:15:06 status installed libgcc-s1:amd64 12-20220319-1ubuntu1
2022-11-01 21:15:06 configure libc6:amd64 2.35-0ubuntu3 <none>
2022-11-01 21:15:06 status unpacked libc6:amd64 2.35-0ubuntu3
2022-11-01 21:15:06 status half-configured libc6:amd64 2.35-0ubuntu3
2022-11-01 21:15:06 status installed libc6:amd64 2.35-0ubuntu3
2022-11-01 21:15:06 configure libudev1:amd64 249.11-0ubuntu3 <none>
2022-11-01 21:15:06 status unpacked libudev1:amd64 249.11-0ubuntu3
2022-11-01 21:15:06 status half-configured libudev1:amd64 249.11-0ubuntu3
2022-11-01 21:15:06 status installed libudev1:amd64 249.11-0ubuntu3
2022-11-01 21:15:06 configure libattr1:amd64 1:2.5.1-1build1 <none>
